ID,Value,E,F,E1,F1,Column 1
Республика Татарстан,19,15 апреля,https://rg.ru/2020/03/22/reg-pfo/v-tatarstane-zapretili-meropriiatiia-s-uchastiem-bolshe-19-chelovek.html,2020-03-29,публичные и иные мероприятия,мероприятия с участием более одного человека
Республика Тыва,1,30 апреля,http://publication.pravo.gov.ru/Document/View/1700202003180004,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Республика Хакасия,50,Без даты,https://r-19.ru/news/politika/99380/,2020-03-28,мероприятия с очным присутствием людей,мероприятия с участием более одного человека
Ростовская область,500,«До особого распоряжения»,https://www.donland.ru/documents/11559/,2020-03-25,публичные и иные массовые мероприятия,мероприятия с участием более одного человека
Рязанская область,1,Без даты,https://www.ryazangov.ru/governmentro/covid-19/?ELEMENT_ID=324426,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Самарская область,1,11 апреля,http://publication.pravo.gov.ru/File/GetFile/6300202003270005?type=pdf,2020-03-29,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Санкт-Петербург,1,30 апреля,https://npa.gov.spb.ru/SpbGovSearch/Document/37545.html,2020-03-21,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Саратовская область,1,Без даты,https://g-64.ru/docs/rasporyazheniya-gubernatora/rasporyazhenie-gubernatora-saratovskoy-oblasti-ot-17-marta-2020-goda-200-r/,2020-03-29, публичные мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Сахалинская область,1,Без даты,https://rg.ru/2020/03/25/sahalin-ukaz17-reg-dok.html,2020-03-25,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Свердловская область,1,12 апреля,https://rg.ru/2020/03/23/reg-urfo/v-sverdlovskoj-oblasti-reshili-otmenit-vse-massovye-meropriiatiia.html,2020-03-25,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Севастополь,1,до особого распоряжения,https://sev.gov.ru/docs/257/101742/,2020-03-28,массовые мероприятия,"с любым числом участников, не упоминаются публичные мероприятия"
Смоленская область,1,Без даты,https://www.admin-smolensk.ru/img/file/ukaz.fr11.pdf,2020-03-20,публичные и иные массовые мероприятия,"с любым числом участников, упоминаются публичные мероприятия"
Ставропольский край,50,10 апреля,http://publication.pravo.gov.ru/Document/View/2600202003180001,2020-03-28,иные мероприятия,мероприятия с участием более одного человека
